	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
64	Male Bengal kitten 	£400	Bengal	9 weeks	1 male	"I have one male Bengal kitten left from a litter of 5 

Pure male Bengal mum is my pedigree Bengal and dad is a marble Bengal stud however they are not registered 

Health checked wormed and de flead and ready to leave now very friendly he’s been in a busy home with dogs and children he’s well socialised he’s litter trained 

I can meet half way if you are far  "	AMBER E.	Altrincham(26.8 miles away)	Breeder	sale	cats
65	GOLDEN BRITISH SHORTHAIR KITTENS❤️🐾REDUCED PRICE 	£1,200	British Shorthair	6 weeks	2 male / 1 female	❤️ Blue Golden point AY 1133 - Hugo £1300. ❤️ Black Golden NY 25 - Laima £1500. ❤️ Black Golden point- Milo £1300. With every kitten you getting: 🐾 Pedigree certificate. 🐾 GCCF certificate. 🐾 Fully vaccination, twice vet checked, mickrochipped. 🐾Scratchpost and litter box trained. 🐾 Royal canin dry and wet food samples. ❤️ Both parents are GCCF registered, mother and 	GoldenFifi 	Liverpool(2 miles away)	Breeder	sale	cats
66	Adorable red point Siamese kitten	£750	Siamese	5 months	2 female	Playful, healthy, little lady, house reared, microchipped and fully vaccinated. Registered non-active with GCCF. Comes with 5 generation pedigree and starter pack of food, toys, blanket, bowl and litt	Rita B.	Liverpool(4.6 miles away)	Breeder	sale	cats
67	Beautiful BSH Blue Female	£850	British Shorthair	2 years	1 female	"Beautiful British Short Hair Blue Cat. 

Bella is a stunning cat just turned two years. She’s a friendly playful ball of fur and we are really upset we are having to sell her due to personal circumstance. With her bright personality she will fit into her new home with ease and will leave you falling in love with her big eyes."	Maya K.	Manchester(26.1 miles away)	Breeder	sale	cats
68	GCCF Full Pedigree BSH Blue kittens	£850	British Shorthair	12 weeks	3 male / 2 female	I have 2 boys available to reserve. Kittens born 14/03/22 and will be ready to leave 13 weeks old. They will come with GCCF registration, 5 generation pedigree certificate, fully vaccinated, vet health checked twice, flea and worm treated, microchipped, 5 weeks free insurance, litter trained. Both parents can be seen. Blood group B. PKD clear.	Daiva S.	Bolton(24.2 miles away)	Breeder	sale	cats
69	💕Simply Stunning Babies ready to leave 💕	£900	Persian	9 weeks	2 male / 2 female	Introducing this beautiful litter of Pedigree PKD negative tested doll faced Persian kittens. Both parents are available to view as they are my family pets. Tilly is Himalayan Persian and so beautiful. Baloo is Blue Smoke doll face and such a Handsome boy with a wonderful laid back personality. The kittens have been brought up in the home and are very well socialised with 	Simply Stunning	Warrington(18.4 miles away)	Breeder	sale	cats
70	REGISTER GCCF  STUNNING BSH LAST BOY	£1,000	British Shorthair	13 weeks	2 male	"Our last Stunning Register GCCF  boy is now ready to go!  Mum and Dad are GCCF register can be seen as are our pets. Both are champions. .  💕 Kitten will come with
-vets checks
- first vacc 
- litter trained 
-goody bag
-microchipped
Deposit of £150 will be required.
Any Question/pics or videos just let me know"	Vanesa S.	Prenton(4.7 miles away)	Individual	sale	cats
71	Sweet little bsh kittens available soon	£375	British Shorthair	6 weeks	1 male / 2 female	Just waiting to be picked by there new forever family, born and raised in our home, used to other cats dogs and children, well socialised playful and confident little kittens, pics don't do them justi	gary j.	Prenton(4.3 miles away)	Breeder	sale	cats
72	AMAZING RAGDOLL KITTENS READY TO LEAVE NOW	£595	Ragdoll	4 months	2 male / 1 female	"READY TO LEAVE NOW !!
PKD/HCM CLEAR !! 
12 WEEKS OLD !!
COULD DELIEVER IF APPROPRIATE DISTANCE !!

Beautiful ragdoll kittens ready to leave now and are 12 weeks old. Our gorgeous ragdoll has had 4 beautiful kittens. Mum is a blue point and dad is a seal point. Both parents are absolutely amazing, and both can be seen at viewings. Kittens have had first and second injection"	Carla C.	Runcorn(13.3 miles away)	Individual	sale	cats
73	🐈‍⬛ 1 female 2 males available 🐈‍⬛ ReaDY	£800	British Shorthair	14 weeks	2 male / 1 female	"We are council licensed breeders 

We have 3 kittens available from a litter of 5  

We have a beautiful litter of kittens born 25/02/2022 

Blood group B 
Active 

Ready- at 13 weeks 27th of May 
We "	LJM	Bootle(5.9 miles away)	Breeder	sale	cats
74	Chocolate Elf blue eyed girl 	£900	Sphynx	6 months	unknown	"Beautiful and quality rare chocolate tortie blue eyed Elf sphynx girl 6 months old 100% bald. Mum is a stunning Chocolate tortie Canadian sphynx and dad a handsome Red Elf boy both wonderful examples of the breed. 
Lila has the most loving personality, she is perfect in every way she will follow you anywhere and just wants to be loved and cuddled she also loves to sleep on"	Bald  B.	Southport(16.4 miles away)	Individual	sale	cats
75	7 month old kitten 	£10	Mixed Breed	6 months	unknown	"She is a very calm and warm kitten and we’re so sad to have to give her up as we’re moving homes.
She’ll come with her bed, litter tray etc…
Collection only.
M3
Free"	Amina G.	Salford(29.8 miles away)	Individual	adoption	cats
76	Fawn British Short Hair 😻💖	£500	British Shorthair	1 year	unknown	It is with great regret that we have made the decision to find a forever pet home for our British short hair, she is 14 months old,fawn colour and will be neutered, she is PKD negative and free from fiv & felv. All enquiries please contact me on 07855346631	Purritypaws 	Blackpool(27.5 miles away)	Breeder	adoption	cats
77	Cat	£50	Bombay	10 months	1 male	The cat name is Chance and 8 months old. He is smart and good friendly with other cat and dog. i can’t keep cat and unfortunately the landlord.	Connor C.	Liverpool(4.2 miles away)	Individual	adoption	cats
78	3 Ragdolls,  forever home wanted	£500	Ragdoll	2 years	2 male / 1 female	"1 female and 2 males

Lily is 2 and is a seal point
Ollie is 2 in July and is a blue white mitted
Alfie is 2 in September and is a seal point white mitted.

Must stay together, will come with toys and"	Samantha M.	Preston(26.7 miles away)	Individual	adoption	cats
79	Female seal point rag doll cat	£100	Ragdoll	6 years	6 female	Due to a change in circumstances and my partner being allergic my cat its with a heavy heart that I need to rehome her. She is 6 years old fully vaccinated, micro chipped and has been neutered. Please	Rachel D.	Chorley(21.2 miles away)	Individual	adoption	cats
80	Lovely Female Black and White Cat	£150	British Shorthair	8 months	unknown	"Lovely Female Black and White.
This cat has been rescued as she was lost,every effort has been made to find her owner with out any luck.
Very friendly , intelligent , smart cat.
Likes to be outside an"	Craig E.	Chester(16.5 miles away)	Individual	adoption	cats
81	Gorgeous Tabby x Bengal Kitten Pair, Male & Female	£390	Mixed Breed	6 months	1 male / 1 female	"UPDATE: ADOPTION IS PENDING

We have two absolutely stunning sibling kittens born on the 21st of November in 2021, one is male and the other is female and they were born in a litter of 5 kittens with "	Cate S.	Bolton(24.5 miles away)	Individual	adoption	cats
82	lovely cat looking for home	£50	European	6 years	1 female	hi, we had Missy for 7 years now, but unfortunately changing circumstances force us to find her another home. She is an outdoor cat, but would do with a litter traybinside as well she is happy both wa	andreea m.	Ellesmere Port(10.3 miles away)	Breeder	adoption	cats
83	Outstanding blue girl available.	£700	Maine Coon	11 months	unknown	Sadly I have to rehome our beautiful girl Blue. Blue is under stunning nearly one-year-old stunning example of the breed. She just was spayed and recovered well. I'm looking for the best pet home for 	KENNEL  IZAIGA WIGAN	Wigan(15.3 miles away)	Licensed Breeder	adoption	cats
84	Ready Now! Amazing Survivor Kitten	£200	Mixed Breed	9 weeks	1 male	"Everyone please say hello to ""Beauty"". Our stunning survivor kitty who we took in and weaned at the tender age of just five weeks old. 😍 A hardy kitten with a passion for playing!

We rescued him fro"	Hayley G.	Newton-le-Willows(14.5 miles away)	Individual	adoption	cats
85	Brother and sister, friendly cats	£75	Mixed Breed	3 years	1 male / 1 female	"Brother and sister 3year old cats regrettably having to go due to downsizing
Dave (black and white) keeps to himself but loves a little attention every now and then
Beanbag (black and brown) very affe"	Graham H.	Ellesmere Port(9 miles away)	Individual	adoption	cats
86	Black Cat needing new forever home 	£50	Mixed Breed	1 year	1 female	"I'm looking for a new home for my 2 year old black cat - Salem. Im emigrating to New Zealand and unfortunately I can't take her with me. 

She's a happy and healthy little cat. She's very affectionate"	Lauren B.	Manchester(29.7 miles away)	Individual	adoption	cats
87	Mixed Breed Ragdoll Female age 13 months old	£25	Mixed Breed	1 year	1 female	Looking for a caring home has to be with a garden.  Originally wanted Kali as a house cat because I live by a railway and it’s too dangerous to let her out. As the months have gone by she is desperate	Dina S.	Liverpool(2.1 miles away)	Individual	adoption	cats
88	cat for adoption for 4 months	£10	British Shorthair	10 months	1 male	this is cat for adoption for 4 months because i want to go back to my own country for summer holiday and i am looking for someone to take care of it . he is lovely cat and love playing.	Felesteen A.	Liverpool(0.6 miles away)	Individual	adoption	cats
